VCD info: dumpfile test.vcd opened for output.
                   0Starting simulation
                   0testSW = 0000000000, testKEY = 00, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111111
                 110testSW = 0000000000, testKEY = 01, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111111
                 120testSW = 0000000000, testKEY = 01, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111111
                 130testSW = 0000000000, testKEY = 01, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111111
                 140testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111111
                 150testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111111
                 160testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111111
                 170testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111111
                 180testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111111
                 190testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111111
                 200testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111111
                 210testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111111
                 220testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111111
                 230testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111111
                 240testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111111
                 250testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111111
                 260testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111111
                 270testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111111
                 280testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111111
                 290testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111111
                 300testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111111
                 310testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111111
                 320testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111111
                 330testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111111
                 340testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111111
                 350testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111111
                 360testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111111
                 370testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111111
                 380testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111111
                 390testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111111
                 400testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111111
                 410testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111111
                 420testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111111
                 430testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111111
                 440testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111111
                 450testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111111
                 460testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111111
                 470testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111111
                 480testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111111
                 490testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111111
                 500testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111111
                 510testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111111
                 520testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111111
                 530testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111111
                 540testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000000, testHEX5 = 11111111
                 550testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111111
                 560testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111111
                 570testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111111
                 580testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111111
                 590testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111111
                 600testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111111
                 610testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111111
                 620testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011000, testHEX5 = 11111111
                 630testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 11111001
                 640testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 11111001
                 650testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 11111001
                 660testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 11111001
                 670testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 11111001
                 680testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 11111001
                 690testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10011000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 11111001
                 700testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10011000, testHEX1 = 11000000, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11000000, testHEX5 = 11111001
                 710testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111001
                 720testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111001
                 730testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111001
                 740testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111001
                 750testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111001
                 760testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111001
                 770testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 11000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111001
                 780testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 11000000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111001, testHEX5 = 11111001
                 790testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 11111001
                 800testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 11111001
                 810testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 11111001
                 820testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 11111001
                 830testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 11111001
                 840testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 11111001
                 850testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 11111001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 11111001
                 860testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 11111001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10100100, testHEX5 = 11111001
                 870testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111001
                 880testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111001
                 890testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111001
                 900testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111001
                 910testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111001
                 920testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111001
                 930testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10100100, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111001
                 940testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10100100, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10110000, testHEX5 = 11111001
                 950testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111001
                 960testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111001
                 970testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111001
                 980testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111001
                 990testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111001
                1000testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111001
                1010testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10110000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111001
                1020testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10110000, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10011001, testHEX5 = 11111001
                1030testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111001
                1040testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111001
                1050testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111001
                1060testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111001
                1070testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111001
                1080testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111001
                1090testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10011001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111001
                1100testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10011001, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10010010, testHEX5 = 11111001
                1110testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111001
                1120testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111001
                1130testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111001
                1140testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111001
                1150testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111001
                1160testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111001
                1170testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 1, testHEX0 = 10010010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111001
                1180testSW = 0000000000, testKEY = 11, clock = 0000000001, testLED = 0, testHEX0 = 10010010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 10000010, testHEX5 = 11111001
                1190testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111001
                1200testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 0, testHEX0 = 10000010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111001
                1210testSW = 0000000000, testKEY = 11, clock = 0000000000, testLED = 1, testHEX0 = 10000010, testHEX1 = 11111001, testHEX2 = 11111001, testHEX3 = zzzzzzzz, testHEX4 = 11111000, testHEX5 = 11111001
